time,height,required_height
0,0.1,3
0.01,0.10007915146692477,3
0.02,0.1025523166315402,3
0.03,0.10741666229867758,3
0.04,0.11466678115303788,3
0.05,0.12429470009513688,3
0.060000000000000005,0.1362898928011178,3
0.07,0.15063929646887025,3
0.08,0.16732733269929792,3
0.09,0.18633593244826396,3
0.09999999999999999,0.2076445649717894,3
0.10999999999999999,0.23123027067456547,3
0.11999999999999998,0.2570676977598322,3
0.12999999999999998,0.2851291425672397,3
0.13999999999999999,0.3153845934745082,3
0.15,0.3478017782285892,3
0.16,0.3823462145626586,3
0.17,0.4189812639466806,3
0.18000000000000002,0.4576681883115097,3
0.19000000000000003,0.4983662095795759,3
0.20000000000000004,0.5410325718291481,3
0.21000000000000005,0.5856226059140093,3
0.22000000000000006,0.6320897963561151,3
0.23000000000000007,0.680385850325446,3
0.24000000000000007,0.7304607685188003,3
0.25000000000000006,0.7822629177476974,3
0.26000000000000006,0.835739105044859,3
0.2700000000000001,0.8908346530988772,3
0.2800000000000001,0.9474934768276483,3
0.2900000000000001,1.0056581609029072,3
0.3000000000000001,1.065270038040708,3
0.3100000000000001,1.1262692678759232,3
0.3200000000000001,1.1885949162427238,3
0.3300000000000001,1.2521850346875272,3
0.34000000000000014,1.3169767400459818,3
0.35000000000000014,1.3829062939211807,3
0.36000000000000015,1.4499091819063779,3
0.37000000000000016,1.5179201924019825,3
0.38000000000000017,1.586873494883481,3
0.3900000000000002,1.6567027174841105,3
0.4000000000000002,1.727341023763549,3
0.4100000000000002,1.7987211885415357,3
0.4200000000000002,1.8707756726831326,3
0.4300000000000002,1.9434366967302537,3
0.4400000000000002,2.0166363132820604,3
0.45000000000000023,2.090306478034809,3
0.46000000000000024,2.1643791193997,3
0.47000000000000025,2.2387862066251816,3
0.48000000000000026,2.31345981635795,3
0.49000000000000027,2.3883321975845613,3
0.5000000000000002,2.463335834903048,3
0.5100000000000002,2.538403510081252,3
0.5200000000000002,2.6134683618656496,3
0.5300000000000002,2.688463944011284,3
0.5400000000000003,2.76332428151001,3
0.5500000000000003,2.8379839250005268,3
0.5600000000000003,2.9123780033497066,3
0.5700000000000003,2.986442274400406,3
0.5800000000000003,3.060113173886357,3
0.5900000000000003,3.1333278625197885,3
0.6000000000000003,3.2060242712621947,3
0.6100000000000003,3.2781411447930866,3
0.6200000000000003,3.348366054141308,3
0.6300000000000003,3.4166807551514125,3
0.6400000000000003,3.483068828136318,3
0.6500000000000004,3.5475156423829612,3
0.6600000000000004,3.6100083209341576,3
0.6700000000000004,3.670535705666523,3
0.6800000000000004,3.7290883226807257,3
0.6900000000000004,3.7856583480170265,3
0.7000000000000004,3.840239573706008,3
0.7100000000000004,3.8928273741615693,3
0.7200000000000004,3.943418672920672,3
0.7300000000000004,3.9920119097319477,3
0.7400000000000004,4.038607007993113,3
0.7500000000000004,4.0832053425351535,3
0.7600000000000005,4.125809707749456,3
0.7700000000000005,4.16642428605244,3
0.7800000000000005,4.205054616680801,3
0.7900000000000005,4.241707564809163,3
0.8000000000000005,4.275754955075782,3
0.8100000000000005,4.3072649149253195,3
0.8200000000000005,4.336304726930455,3
0.8300000000000005,4.362940842146719,3
0.8400000000000005,4.386776459389885,3
0.8500000000000005,4.407942454065521,3
0.8600000000000005,4.426564378720963,3
0.8700000000000006,4.4427627217823185,3
0.8800000000000006,4.456653148695273,3
0.8900000000000006,4.468587880202356,3
0.9000000000000006,4.478626601378788,3
0.9100000000000006,4.486828239942974,3
0.9200000000000006,4.493250968160445,3
0.9300000000000006,4.497952204063488,3
0.9400000000000006,4.500906993367414,3
0.9500000000000006,4.50220450652088,3
0.9600000000000006,4.501930469252542,3
0.9700000000000006,4.50016730805457,3
0.9800000000000006,4.496994512130227,3
0.9900000000000007,4.492433739193634,3
1.0000000000000007,4.486537881765541,3
1.0100000000000007,4.479359298170242,3
1.0200000000000007,4.470949768173105,3
1.0300000000000007,4.461360451589661,3
1.0400000000000007,4.450641849795644,3
1.0500000000000007,4.438843770063213,3
1.0600000000000007,4.426015292645061,3
1.0700000000000007,4.412204740525143,3
1.0800000000000007,4.397459651752286,3
1.0900000000000007,4.382082745395512,3
1.1000000000000008,4.366121410156977,3
1.1100000000000008,4.349621047476919,3
1.1200000000000008,4.3326251311451,3
1.1300000000000008,4.31517526627553,3
1.1400000000000008,4.297311247544957,3
1.1500000000000008,4.279071116607771,3
1.1600000000000008,4.260491218611144,3
1.1700000000000008,4.24160625774459,3
1.1800000000000008,4.222449351767645,3
1.1900000000000008,4.203052085468139,3
1.2000000000000008,4.183444563011516,3
1.2100000000000009,4.163995867525016,3
1.2200000000000009,4.144711914958679,3
1.2300000000000009,4.125598056470609,3
1.2400000000000009,4.106659114102291,3
1.2500000000000009,4.087899414361575,3
1.260000000000001,4.069322819832667,3
1.270000000000001,4.050932758925933,3
1.280000000000001,4.032732253874143,3
1.290000000000001,4.014723947075898,3
1.300000000000001,3.996910125881383,3
1.310000000000001,3.979292745910289,3
1.320000000000001,3.961873452986703,3
1.330000000000001,3.94465360377099,3
1.340000000000001,3.927634285164183,3
1.350000000000001,3.910816332556094,3
1.360000000000001,3.8942003469843214,3
1.370000000000001,3.877786711267488,3
1.380000000000001,3.861575605172426,3
1.390000000000001,3.8455670196715954,3
1.400000000000001,3.8297607703437833,3
1.410000000000001,3.81415650996809,3
1.420000000000001,3.798753740358303,3
1.430000000000001,3.7835518234820515,3
1.440000000000001,3.7685499919065606,3
1.450000000000001,3.7537473586103975,3
1.460000000000001,3.7391429261983187,3
1.470000000000001,3.7247355955541743,3
